condition,outer_fold,group_id,subject_id,target,source,band,gain,status,n_lags,support_sha256,is_synthetic,synthetic_notice,protocol_id
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_brow,0–100 ms,-9.896056623066125e-05,evaluable,3,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_brow,100–250 ms,-0.000250293906064425,evaluable,4,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_brow,250–500 ms,1.9971294939315564e-05,evaluable,8,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_cheek,0–100 ms,-0.00047744702781216667,evaluable,3,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_cheek,100–250 ms,-0.00061917334943635,evaluable,4,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_cheek,250–500 ms,-0.00029022769598254996,evaluable,8,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_eyelid,0–100 ms,6.574762174206586e-05,evaluable,3,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_eyelid,100–250 ms,0.00019734559494469998,evaluable,4,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,left_eyelid,250–500 ms,-0.00014785284038122836,evaluable,8,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,jaw,mouth,0–100 ms,0.0,evaluable,3,d82d4dd61fdebcd36329339ad9f7cd3ac6d8ae6de7b34fda6274be20911ab84e,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
