condition,target,source,band,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,jaw,left_brow,0–100 ms,30,15,0,-0.0002955029383567667,-0.0003320185673865029,4,0.13333333333333333,-0.0005137785366404167,-0.00022698777454085,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,100–250 ms,30,15,0,-0.0006066165188061,-0.0006728177363909407,0,0.0,-0.0010023405076681124,-0.000482401562411625,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,250–500 ms,30,15,0,-0.00020381699759746156,-0.0002453946491901527,11,0.36666666666666664,-0.000452351310651225,-0.0001258038375985466,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,0–100 ms,30,15,0,-6.845388428460518e-06,-5.147104456479952e-05,14,0.4666666666666667,-0.0002708514699429833,6.266160185005745e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,100–250 ms,30,15,0,0.00023400657248938154,0.00015310223507964245,17,0.5666666666666667,-0.0002446247563548125,0.000360019666317075,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,250–500 ms,30,15,0,0.0002456116561296944,0.00019479971526398845,19,0.6333333333333333,-5.499258285617502e-05,0.00032475413571581,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,0–100 ms,30,15,0,-0.00021258467378474998,-0.0001660431371306685,10,0.3333333333333333,-0.0003765339139143,-7.334761193797015e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,100–250 ms,30,15,0,-0.00030725852517266255,-0.00022288078126841051,10,0.3333333333333333,-0.0006044912336619375,-5.482790102269994e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,250–500 ms,30,15,0,-0.00046476928185888125,-0.0004117758692568789,4,0.13333333333333333,-0.0006514461806588125,-0.00030623031648739895,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,0–100 ms,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,100–250 ms,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,250–500 ms,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,0–100 ms,30,15,0,-0.00020893810007285,-0.000173595737991888,10,0.3333333333333333,-0.0002808886792517667,2.706595173919586e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,100–250 ms,30,15,0,-0.0005731241913005251,-0.0005090500547114082,9,0.3,-0.0007035674035399874,-0.00018942173585825804,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,250–500 ms,30,15,0,-0.0006238908279642812,-0.0005836490888483556,0,0.0,-0.0007058156418722876,-0.0003829066347779,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,0–100 ms,24,12,6,-2.3428774885148043e-06,-3.3126137888134004e-05,12,0.5,-0.0001456383251906,0.00019610900519751346,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,100–250 ms,24,12,6,0.00034823778019636253,0.00029242909296196866,16,0.6666666666666666,8.844948229985052e-05,0.000708022250981125,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,250–500 ms,24,12,6,0.0004046128366284948,0.00036956221009426694,19,0.7916666666666666,0.00024145288682913567,0.0006305753479007082,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,0–100 ms,30,15,0,-0.00017280128381208336,-0.0001403727281026173,10,0.3333333333333333,-0.0002790788293933167,3.7520571574110944e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,100–250 ms,30,15,0,-0.0002402743207665375,-0.0001814827860311006,12,0.4,-0.0004329508022174375,0.00014102988461762645,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,250–500 ms,30,15,0,-0.00019491812698043125,-0.00015799412411454913,11,0.36666666666666664,-0.00031592852389051874,4.4559846094148185e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,jaw,0–100 ms,30,15,0,-6.043888188550285e-07,-3.712001784852774e-05,15,0.5,-0.00021887998710241668,6.791077499706459e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,jaw,100–250 ms,30,15,0,0.0002911271683313808,0.00022492595074657926,18,0.6,-0.00010459682053056184,0.0004153421247258125,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,jaw,250–500 ms,30,15,0,0.0003191689918299756,0.0002775913402373218,21,0.7,7.063467877618912e-05,0.0003971821518288922,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,left_cheek,0–100 ms,30,15,0,-0.00020658851416173333,-0.00016088884187238483,11,0.36666666666666664,-0.0002741253219620167,6.192185981642386e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,left_cheek,100–250 ms,30,15,0,-0.0005478015396844374,-0.0004649500585741346,8,0.26666666666666666,-0.0006702427799691375,-6.100412816886887e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,left_cheek,250–500 ms,30,15,0,-0.0005906592703498562,-0.0005386244265627625,0,0.0,-0.000667558448565275,-0.000284926325993075,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,left_eyelid,0–100 ms,30,15,0,-0.00023444933825995002,-0.0001754695468314441,10,0.3333333333333333,-0.0003277744851458667,-2.7116179102025876e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,left_eyelid,100–250 ms,30,15,0,-0.0005328853340240999,-0.0004259575852978453,8,0.26666666666666666,-0.00070207969050385,-0.00015699950248585794,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,left_eyelid,250–500 ms,30,15,0,-0.0005274671959992563,-0.00046031126074121733,4,0.13333333333333333,-0.0006337296525190188,-0.00029139223072695785,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,mouth,0–100 ms,30,15,0,1.3828842205911076e-05,-2.611239784647112e-05,16,0.5333333333333333,-0.00012564954487463334,0.00018945922632016666,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,mouth,100–250 ms,30,15,0,0.0001593115966582002,8.68998980629082e-05,18,0.6,-9.355653944852025e-05,0.000477721701652,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,mouth,250–500 ms,30,15,0,0.0001064163081759583,6.093816615280089e-05,18,0.6,-5.239743642721824e-05,0.0003063936634573219,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_brow,0–100 ms,30,15,0,-0.00012060638132208333,-0.00012028050322404132,13,0.43333333333333335,-0.0003800676342125,2.3294041897506676e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_brow,100–250 ms,30,15,0,-0.0001300664521778625,-0.00012947564962427315,14,0.4666666666666667,-0.0006004582080878,9.281068021429182e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_brow,250–500 ms,30,15,0,-9.464016439775461e-05,-9.426911106020432e-05,14,0.4666666666666667,-0.00039006954247873754,4.5337740792631064e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_cheek,0–100 ms,24,12,6,-0.00018730998223045,-0.00015166801133039003,8,0.3333333333333333,-0.0003893369503706333,-4.738906125026799e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_cheek,100–250 ms,24,12,6,-0.00038491922629048755,-0.0003203019121867272,8,0.3333333333333333,-0.00075118516860735,-0.00013124879583041368,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_cheek,250–500 ms,24,12,6,-0.000383117076418725,-0.00034253419485437826,5,0.20833333333333334,-0.0006131502736239437,-0.00022379945112703124,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_eyelid,0–100 ms,30,15,0,-0.000186565283371,-0.00016457549349767328,8,0.26666666666666666,-0.0003931382684188667,-4.3273261743797566e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_eyelid,100–250 ms,30,15,0,-0.0002618578982521,-0.00022199138348197414,10,0.3333333333333333,-0.000636365567808625,-2.075811677478088e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,right_eyelid,250–500 ms,30,15,0,-0.0005682858588410688,-0.0005432477081574701,0,0.0,-0.000803495269961875,-0.00040512981006025087,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,jaw,0–100 ms,30,15,0,-3.167533045766004e-05,-7.630098659399813e-05,13,0.43333333333333335,-0.00029568141197216667,3.783165982085835e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,jaw,100–250 ms,30,15,0,1.8950723891257375e-05,-6.195361351850981e-05,16,0.5333333333333333,-0.00045968060495296247,0.00014496381771894585,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,jaw,250–500 ms,30,15,0,-0.00039192410173687276,-0.00044273604260261273,0,0.0,-0.0006925283407227812,-0.00031278162215075576,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,left_brow,0–100 ms,30,15,0,-0.00016961196427691668,-0.00012391229198756743,11,0.36666666666666664,-0.00023714877207718334,9.889840970122419e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,left_brow,100–250 ms,30,15,0,-0.00023449222575392498,-0.00015164074464362435,14,0.4666666666666667,-0.000356933466038625,0.0002523051857615875,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,left_brow,250–500 ms,30,15,0,-0.00019128668422634375,-0.00013925184043927838,11,0.36666666666666664,-0.0002681858624417687,0.00011444626013035628,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,left_eyelid,0–100 ms,30,15,0,4.6597180598119224e-05,6.655940545743689e-06,16,0.5333333333333333,-9.288120648242643e-05,0.00022222756471238333,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,left_eyelid,100–250 ms,30,15,0,0.000436963937189975,0.0003645522385946831,22,0.7333333333333333,0.00018409580108321284,0.0007553740421837875,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,left_eyelid,250–500 ms,30,15,0,0.00046033726855318767,0.00041485912653001965,26,0.8666666666666667,0.0003015235239499908,0.0006603146238345571,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,mouth,0–100 ms,30,15,0,-0.00019995435792263333,-0.0001675258022131508,10,0.3333333333333333,-0.0003062319035038667,1.0367497463580443e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,mouth,100–250 ms,30,15,0,-0.0004703474629925,-0.0004115559282570597,9,0.3,-0.0006630239444434125,-8.904325760830372e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,mouth,250–500 ms,30,15,0,-0.00048819030793043126,-0.00045126630506450835,4,0.13333333333333333,-0.0006092007048404813,-0.0002487123348557863,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,right_brow,0–100 ms,30,15,0,-3.584069612351236e-06,-3.5165081441013634e-05,15,0.5,-0.00021370291943850002,0.00010581925358535795,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
