condition,target,source,lag,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,jaw,left_brow,1,30,15,0,-0.00019472675049049998,-0.00022144362744782415,8,0.26666666666666666,-0.00035442938897935,-0.00014459722376404998,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,2,30,15,0,-0.000285956292144,-0.0003222212170116059,4,0.13333333333333333,-0.0005027332827784001,-0.0002179115306515,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,3,30,15,0,-0.00040582577243579996,-0.0004523908577000787,4,0.13333333333333333,-0.0006841729381635,-0.000318454569207,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,4,30,15,0,-0.00053115915829455,-0.0005877187872569605,0,0.0,-0.00086924964662845,-0.0004250349493818,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,5,30,15,0,-0.00062608114937295,-0.0006910679609428744,0,0.0,-0.0010145459123499499,-0.00050414481255205,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,6,30,15,0,-0.0006573094006232,-0.0007279438292840696,0,0.0,-0.00107953332459925,-0.0005247763023488,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,7,30,15,0,-0.0006119163669337,-0.0006845403680798579,4,0.13333333333333333,-0.0010460331470948,-0.00047565018536385,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,8,30,15,0,-0.0005050544670839,-0.000575688895744755,8,0.26666666666666666,-0.0009272783910599,-0.0003725213688095,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,9,30,15,0,-0.00037165878696665,-0.0004366455985366514,8,0.26666666666666666,-0.0007601235499437,-0.0002497224501458,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,10,30,15,0,-0.00024831547344975,-0.00030487510241218667,12,0.4,-0.00058640596178365,-0.000142191264537,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,11,30,15,0,-0.00015791405261642748,-0.0002044791378806695,12,0.4,-0.00043626121834405,-7.054284938763644e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,12,30,15,0,-0.00010528699100372996,-0.0001415519158712856,12,0.4,-0.0003220639816381,-3.7242229511245777e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,13,30,15,0,-8.264086627553071e-05,-0.00010935774323281572,12,0.4,-0.00024234350476430003,-3.251133954906751e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,14,30,15,0,-7.807401218998104e-05,-9.669304543739563e-05,12,0.4,-0.000189371030194,-4.313866677924452e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_brow,15,30,15,0,-8.159133119372327e-05,-9.386575440546222e-05,8,0.26666666666666666,-0.00015496284748209998,-5.8560532068878575e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,1,30,15,0,-4.199176183573936e-05,-7.464238831578474e-05,13,0.43333333333333335,-0.00023515338011325,8.863440615586131e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,2,30,15,0,-1.1702613413255673e-05,-5.602188463912958e-05,13,0.43333333333333335,-0.00027389611699280003,5.73271649912621e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,3,30,15,0,3.315820996361348e-05,-2.3748860739484167e-05,16,0.5333333333333333,-0.0003035049127229,0.00012179419994332408,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,4,30,15,0,9.733326485372615e-05,2.821188805308175e-05,16,0.5333333333333333,-0.00031158988424875,0.000204993729288,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,5,30,15,0,0.00018215654404375,0.00010273632909529008,16,0.5333333333333333,-0.0002876946930458,0.00030585803296930003,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,6,30,15,0,0.0002808125289845,0.00019449037574317295,19,0.6333333333333333,-0.0002298706832807,0.00041526417822945,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,7,30,15,0,0.00037572395207555,0.000286970347427025,19,0.6333333333333333,-0.000149343764844,0.0005139627247815501,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,8,30,15,0,0.00044206827311985,0.00035574611987850924,19,0.6333333333333333,-6.86149391454019e-05,0.0005765199223648,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,9,30,15,0,0.0004579269237235,0.0003785067087750584,19,0.6333333333333333,-1.1924313366070034e-05,0.00058162841264905,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,10,30,15,0,0.0004157182349001,0.00034659685809946704,21,0.7,6.795085797635901e-06,0.0005233786993344,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,11,30,15,0,0.0003269379342163,0.00027003086351321334,19,0.6333333333333333,-9.725188470230232e-06,0.00041557392419600003,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,12,30,15,0,0.00021646790185305,0.00017214863062722823,19,0.6333333333333333,-4.5725601726444645e-05,0.00028549768025755,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,13,30,15,0,0.00011050975252165001,7.785912604161321e-05,19,0.6333333333333333,-8.265186575588928e-05,0.00016136495497295,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,14,30,15,0,2.6303042855005225e-05,3.548770304591196e-06,16,0.5333333333333333,-0.00010831159038185,6.174411281091845e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_cheek,15,30,15,0,-3.1038814151900136e-05,-4.603935512777301e-05,13,0.43333333333333335,-0.00011978224980115,-7.674620859187894e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,1,30,15,0,-0.0001823577978624,-0.00014830540601728362,8,0.26666666666666666,-0.00030231223359779996,-8.048417420857337e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,2,30,15,0,-0.00021179986363945,-0.00016557786569414785,10,0.3333333333333333,-0.0003746234828234,-7.351875714258632e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,3,30,15,0,-0.0002435963598524,-0.00018424613968057394,10,0.3333333333333333,-0.0004526660253217,-6.603990446275073e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,4,30,15,0,-0.00027459147418250004,-0.00020250256008068094,10,0.3333333333333333,-0.0005285350166271501,-5.8925011214917486e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,5,30,15,0,-0.00030123321546325,-0.00021840331075981975,10,0.3333333333333333,-0.00059301343830075,-5.343322016716258e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,6,30,15,0,-0.00032071478288965,-0.00023068662404602204,10,0.3333333333333333,-0.0006378518886619,-5.1379964530980093e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,7,30,15,0,-0.00033249462815525,-0.00023993063018711927,10,0.3333333333333333,-0.0006585645910579499,-5.5573408177739606e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,8,30,15,0,-0.00033976771616145,-0.000249739557317818,10,0.3333333333333333,-0.0006569048219337,-7.043289780276057e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,9,30,15,0,-0.00034998047973095,-0.000267150575027524,10,0.3333333333333333,-0.00064176070256845,-0.00010218048443483071,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,10,30,15,0,-0.0003731009451727,-0.00030101203107088114,8,0.26666666666666666,-0.0006270444876173499,-0.00015743448220509998,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
