condition,delta,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,-3,30,15,0,-2.6593203563005832e-05,-3.916209185643895e-05,11,0.36666666666666664,-7.837871315669276e-05,-8.536913070168018e-06,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,-2,30,15,0,-6.248360370758999e-06,-1.3637943695705354e-05,15,0.5,-4.259605120024286e-05,5.3465616302435725e-06,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,-1,30,15,0,3.67714978347612e-06,1.1279751086997868e-06,16,0.5333333333333333,-1.423803120257159e-05,9.921714652637499e-06,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,30,15,0,0.0,0.0,0,0.0,0.0,0.0,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,1,30,15,0,-1.8114694761182345e-05,-1.686486702100829e-05,7,0.23333333333333334,-2.471948284459382e-05,-3.3288495812583505e-06,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,2,30,15,0,-4.525040595750015e-05,-4.405232664889844e-05,0,0.0,-5.7958172284287574e-05,-2.6589541736400065e-05,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,3,30,15,0,-7.130078849140007e-05,-7.371460187416602e-05,0,0.0,-9.125012395073121e-05,-6.486933003423741e-05,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,-3,30,15,0,0.00016596107222386866,0.00014830909787380932,29,0.9666666666666667,9.786359753275018e-05,0.00018152526125155731,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,-2,30,15,0,6.581695236219056e-05,5.5801996258102846e-05,25,0.8333333333333334,1.9581680913337773e-05,7.670934597710311e-05,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,-1,30,15,0,3.863783460108277e-06,2.9024313124145337e-07,16,0.5333333333333333,-1.8387293277012347e-05,9.921714652640616e-06,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,0,30,15,0,0.0,0.0,0,0.0,0.0,0.0,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,1,30,15,0,5.304222500836144e-05,5.496530372095841e-05,30,1.0,4.664330150227499e-05,6.762220561097518e-05,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,2,30,15,0,0.00014481176836422384,0.00014702217990288265,30,1.0,0.00013265387223007494,0.00016292276239271677,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,3,30,15,0,0.00025177434020689994,0.00024941320710564804,30,1.0,0.00023193242199986242,0.00025711503207641664,nominal_fixed_oof_group,response,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
