condition,target,contrast,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,jaw,full-pcmci,30,15,0,-5.1248802821500516e-05,-3.314027228403452e-06,14,0.4666666666666667,-0.0001887892831344,5.709339097614927e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,persistence-self,30,15,0,-0.0017312373800866996,-0.0017413761053673498,0,0.0,-0.001847551632901799,-0.0016166069301594998,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,self-full,30,15,0,0.0005428341477266498,0.0005496668476301533,21,0.7,2.3574526397399792e-05,0.0010647330895985994,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,self-pcmci,30,15,0,0.0006287819330405495,0.0005463528204017498,22,0.7333333333333333,0.00039000576061674983,0.00098130368503395,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,full-pcmci,30,15,0,-0.00014047817371735027,-6.232733174503337e-05,10,0.3333333333333333,-0.00025307560429330047,-2.042350767200024e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,persistence-self,30,15,0,-7.802586671999939e-06,8.481097007533341e-06,15,0.5,-0.0001364258274116001,0.00019119661506065023,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,self-full,30,15,0,0.0004863804852157502,0.0005222636352400234,21,0.7,1.7133836763500408e-05,0.0009617240933620002,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,self-pcmci,30,15,0,0.00036182337155284995,0.0004599363034949899,18,0.6,0.0,0.0008827174641736,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,full-pcmci,30,15,0,-0.0001280588474111507,-0.0001965169098478433,11,0.36666666666666664,-0.00027915181941780016,5.405439509749768e-06,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,persistence-self,30,15,0,-0.0010321751911795,-0.0010031664969896933,0,0.0,-0.00111578804657225,-0.0008315172296806997,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,self-full,30,15,0,0.00048640391636329975,0.0005444260271353999,21,0.7,-7.675403113650489e-06,0.0010396189998003996,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
