condition,target,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,selected_mean_median,random_mean_median,is_synthetic,synthetic_notice,protocol_id
non_speaking,jaw,30,15,0,-8.557247135885471e-05,-0.00015379872337644736,12,0.4,-0.000262496000907196,-1.3183910071161035e-05,nominal_fixed_oof_group,enrichment,-0.0004787992798297,-0.00038923852145386346,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_brow,24,12,6,-0.00022267634199174996,-0.0002625358032608436,0,0.0,-0.00027201008614940927,-0.00020961904863869108,nominal_fixed_oof_group,enrichment,-0.00021715483369299604,2.8558619171723153e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_cheek,30,15,0,-0.0003437162008360944,-0.00040870944876350286,0,0.0,-0.0004422128016003455,-0.00022924189705006765,nominal_fixed_oof_group,enrichment,-0.0006351026581084166,-0.00011860116689612818,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,30,15,0,-0.00019180509181349154,-0.0001412071163050564,6,0.2,-0.000291065888797803,-0.00010113308062003679,nominal_fixed_oof_group,enrichment,-0.0002797741486839966,-6.063977767410433e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,30,15,0,-3.4160316772793324e-05,-3.119548226228713e-05,12,0.4,-8.498771296154767e-05,2.3588581979136004e-05,nominal_fixed_oof_group,enrichment,-0.00017393593628930174,-0.00013121973958331036,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_brow,30,15,0,2.041530712246199e-05,6.0690576860584965e-05,15,0.5,-0.00014499875884909665,0.00019690209406232354,nominal_fixed_oof_group,enrichment,-0.0002808277281777334,-0.00031524586515660827,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_cheek,24,12,6,-4.292129374521113e-05,-1.457990022804085e-05,10,0.4166666666666667,-0.00011918575792836561,-5.55844725304107e-06,nominal_fixed_oof_group,enrichment,-0.0002488430424746495,-0.00024332549414740476,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_eyelid,30,15,0,0.00012765697378688443,0.00013953837175940205,20,0.6666666666666666,9.866152914497582e-06,0.00032238490005136427,nominal_fixed_oof_group,enrichment,-8.090981944284861e-05,-0.00025954499995686894,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,selected_targets,30,15,0,-7.66730831078158e-05,-0.000102491424278396,0,0.0,-9.738810971900845e-05,-6.639668774384117e-05,nominal_fixed_oof_group,enrichment,-0.0002673075621927771,-0.00018693134259814635,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,jaw,30,15,0,0.00021994595530539662,0.00015505054612675913,19,0.6333333333333333,4.3634833603844775e-05,0.0003022570627749278,nominal_fixed_oof_group,enrichment,-0.00011221268976932604,-0.00033408694672729843,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_brow,30,15,0,0.0002524408068585682,0.0002370222965104727,30,1.0,0.00016919812986695314,0.00028643885622568803,nominal_fixed_oof_group,enrichment,0.00019545817038856664,-2.8551012308330433e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_cheek,30,15,0,9.200604145153098e-05,6.152734426467602e-05,18,0.6,-3.481709585543538e-06,0.00020459707245647929,nominal_fixed_oof_group,enrichment,-6.034801423528643e-05,1.143439236748813e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_eyelid,30,15,0,0.00010459425729482697,0.00016410539389313472,21,0.7,4.391656084237522e-06,0.0001931975280744496,nominal_fixed_oof_group,enrichment,0.00029745204505111667,0.000215222187385331,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,mouth,30,15,0,0.0002031953435334917,0.00020178858550208158,30,1.0,0.00015529273970539954,0.00026378756749132,nominal_fixed_oof_group,enrichment,0.00015892090119454998,-1.8820337304094702e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_brow,30,15,0,0.00020314895077267543,0.00024986074715413085,23,0.7666666666666667,4.274113508111264e-05,0.0003845935314374146,nominal_fixed_oof_group,enrichment,0.00014351885419596012,-7.449464518132412e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_cheek,24,12,6,0.0001750193229767526,0.000209192800211836,24,1.0,9.793768298385519e-05,0.00022402014721753665,nominal_fixed_oof_group,enrichment,0.0001755023705629833,-3.559229968212731e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_eyelid,30,15,0,0.0003071884841076265,0.00031770842754967507,27,0.9,0.0001926637829647747,0.0004974057153024222,nominal_fixed_oof_group,enrichment,0.00034343676293085003,-1.1113197279093276e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,selected_targets,30,15,0,0.00021032382775123062,0.00019698339359918246,30,1.0,0.00018384310143338523,0.00022536578665739533,nominal_fixed_oof_group,enrichment,0.0001780990295056523,-2.7988699791982957e-05,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
