is_synthetic,synthetic_notice,row_type,condition,subject_id,metric_name,value,ci_low,ci_high
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S01,velocity_rmse,1.021533,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S02,velocity_rmse,1.03386925,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S03,velocity_rmse,1.042602,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S04,velocity_rmse,1.061976,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S05,velocity_rmse,1.06292875,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S06,velocity_rmse,1.08833675,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S07,velocity_rmse,1.08694475,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,full,MOCK_S08,velocity_rmse,1.10684325,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S01,velocity_rmse,0.9961575,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S02,velocity_rmse,1.0127645,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S03,velocity_rmse,1.02522825,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S04,velocity_rmse,1.03532425,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S05,velocity_rmse,1.049195,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S06,velocity_rmse,1.05549175,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S07,velocity_rmse,1.06926875,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,pcmci,MOCK_S08,velocity_rmse,1.08312925,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S01,velocity_rmse,1.286038,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S02,velocity_rmse,1.29436675,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S03,velocity_rmse,1.3049765,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S04,velocity_rmse,1.315357,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S05,velocity_rmse,1.330559,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S06,velocity_rmse,1.3401595,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S07,velocity_rmse,1.3587595,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,persistence,MOCK_S08,velocity_rmse,1.36204825,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S01,velocity_rmse,1.1330825,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S02,velocity_rmse,1.138585,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S03,velocity_rmse,1.151349,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S04,velocity_rmse,1.17052575,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S05,velocity_rmse,1.1803775,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S06,velocity_rmse,1.18226775,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S07,velocity_rmse,1.2081585,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,subject,self,MOCK_S08,velocity_rmse,1.20784775,,
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,summary,full,,velocity_rmse,1.062452375,1.03386925,1.08833675
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,summary,pcmci,,velocity_rmse,1.042259625,1.0127645,1.06926875
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,summary,persistence,,velocity_rmse,1.322958,1.29436675,1.3587595
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,summary,self,,velocity_rmse,1.175451625,1.138585,1.20784775
