is_synthetic,synthetic_notice,relation,lag,fold_selection_frequency,bootstrap_selection_frequency,observed
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,1,1,0.9,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,2,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,3,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,4,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,5,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,6,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,7,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,8,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,9,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,jaw→mouth,10,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,1,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,2,1,0.84,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,3,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,4,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,5,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,6,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,7,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,8,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,9,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→mouth,10,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,1,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,2,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,3,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,4,0.5,0.52,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,5,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,6,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,7,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,8,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,9,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,left_cheek→right_cheek,10,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,1,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,2,0.75,0.66,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,3,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,4,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,5,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,6,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,7,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,8,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,9,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,mouth→jaw,10,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,1,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,2,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,3,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,4,0.5,0.5,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,5,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,6,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,7,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,8,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,9,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→left_cheek,10,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,1,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,2,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,3,0.75,0.79,True
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,4,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,5,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,6,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,7,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,8,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,9,,,False
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,right_cheek→mouth,10,,,False
