is_synthetic,synthetic_notice,subject_id,region_id,time_index,y_true,self_prediction,pcmci_prediction
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,0,0,-0.047943,-0.009896
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,1,0.140175,0.098614,0.134568
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,2,0.266794,0.234779,0.266018
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,3,0.368205,0.348761,0.372654
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,4,0.436254,0.431846,0.446069
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,5,0.467314,0.4794,0.48228
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,6,0.462586,0.491223,0.482042
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,7,0.427635,0.471217,0.450429
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,8,0.371244,0.426444,0.395754
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,9,0.303805,0.365747,0.328025
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,10,0.235506,0.298175,0.257209
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,11,0.174646,0.231496,0.191599
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,12,0.126347,0.171032,0.136559
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,13,0.091889,0.119028,0.093858
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,14,0.06877,0.07463,0.061692
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,15,0.051471,0.034475,0.035381
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,16,0.032773,-0.006238,0.0086
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,17,0.005402,-0.052402,-0.025086
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,18,-0.036308,-0.107631,-0.070655
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,19,-0.095038,-0.173132,-0.130337
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,20,-0.169627,-0.247025,-0.202814
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,21,-0.254922,-0.32426,-0.283082
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,22,-0.342353,-0.397163,-0.363016
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,23,-0.42116,-0.456514,-0.432535
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,24,-0.480069,-0.493015,-0.481197
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,25,-0.509129,-0.498861,-0.49994
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,26,-0.501412,-0.469184,-0.482683
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,27,-0.454277,-0.403082,-0.427501
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,28,-0.369978,-0.304069,-0.337177
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,29,-0.255512,-0.179846,-0.219012
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,30,-0.121714,-0.04141,-0.083923
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,31,0.018241,0.09836,0.055031
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,32,0.150712,0.226427,0.184468
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,33,0.263514,0.331352,0.292548
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,34,0.34758,0.404806,0.370581
