is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,condition,metric_name,metric_direction,value,replicate_id,seed,mapping_scope,pcmci_feature_count,null_feature_count,input_count_preserved,lag_identity_preserved,pcmci_error,null_error,null_minus_pcmci
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,lag_shift_+1,velocity_rmse,lower_is_better,1.046719,MOCK_R000,20260908,outer_train_only,10,10,True,False,0.982833,1.046719,0.063886
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.074531,MOCK_R000,20260908,outer_train_only,11,11,True,False,1.017683,1.074531,0.056848
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,lag_shift_+1,velocity_rmse,lower_is_better,1.036331,MOCK_R000,20260908,outer_train_only,9,9,True,False,0.969543,1.036331,0.066788
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.063684,MOCK_R000,20260908,outer_train_only,12,12,True,False,1.014571,1.063684,0.049113
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,lag_shift_+1,velocity_rmse,lower_is_better,1.070567,MOCK_R000,20260908,outer_train_only,11,11,True,False,1.004617,1.070567,0.06595
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.075283,MOCK_R000,20260908,outer_train_only,12,12,True,False,1.017945,1.075283,0.057338
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,lag_shift_+1,velocity_rmse,lower_is_better,1.057943,MOCK_R000,20260908,outer_train_only,10,10,True,False,0.995405,1.057943,0.062538
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.086828,MOCK_R000,20260908,outer_train_only,8,8,True,False,1.033091,1.086828,0.053737
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,lag_shift_+1,velocity_rmse,lower_is_better,1.078918,MOCK_R000,20260908,outer_train_only,12,12,True,False,1.02821,1.078918,0.050708
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.094106,MOCK_R000,20260908,outer_train_only,8,8,True,False,1.033723,1.094106,0.060383
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,lag_shift_+1,velocity_rmse,lower_is_better,1.061373,MOCK_R000,20260908,outer_train_only,11,11,True,False,0.998417,1.061373,0.062956
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.09974,MOCK_R000,20260908,outer_train_only,9,9,True,False,1.040563,1.09974,0.059177
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,lag_shift_+1,velocity_rmse,lower_is_better,1.096041,MOCK_R000,20260908,outer_train_only,8,8,True,False,1.029222,1.096041,0.066819
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.119685,MOCK_R000,20260908,outer_train_only,9,9,True,False,1.050269,1.119685,0.069416
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,lag_shift_+1,velocity_rmse,lower_is_better,1.059151,MOCK_R000,20260908,outer_train_only,12,12,True,False,0.996065,1.059151,0.063086
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.126394,MOCK_R000,20260908,outer_train_only,10,10,True,False,1.065741,1.126394,0.060653
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,lag_shift_+1,velocity_rmse,lower_is_better,1.113889,MOCK_R000,20260908,outer_train_only,9,9,True,False,1.060244,1.113889,0.053645
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.110268,MOCK_R000,20260908,outer_train_only,10,10,True,False,1.053584,1.110268,0.056684
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,lag_shift_+1,velocity_rmse,lower_is_better,1.097796,MOCK_R000,20260908,outer_train_only,8,8,True,False,1.028554,1.097796,0.069242
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.123036,MOCK_R000,20260908,outer_train_only,11,11,True,False,1.054398,1.123036,0.068638
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,lag_shift_+1,velocity_rmse,lower_is_better,1.097848,MOCK_R000,20260908,outer_train_only,10,10,True,False,1.036014,1.097848,0.061834
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,lag_shift_+1,velocity_rmse,lower_is_better,1.123494,MOCK_R000,20260908,outer_train_only,11,11,True,False,1.066534,1.123494,0.05696
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,lag_shift_+1,velocity_rmse,lower_is_better,1.088413,MOCK_R000,20260908,outer_train_only,9,9,True,False,1.031502,1.088413,0.056911
