is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,condition,feature_count
<<<<<<< Updated upstream
<<<<<<< Updated upstream
True,MOCK DATA / NOT A SCIENTIFIC RESULT,0,MOCK_S01,mouth,full,80
True,MOCK DATA / NOT A SCIENTIFIC RESULT,0,MOCK_S01,mouth,pcmci,9
True,MOCK DATA / NOT A SCIENTIFIC RESULT,1,MOCK_S02,mouth,full,80
True,MOCK DATA / NOT A SCIENTIFIC RESULT,1,MOCK_S02,mouth,pcmci,10
True,MOCK DATA / NOT A SCIENTIFIC RESULT,2,MOCK_S03,mouth,full,80
True,MOCK DATA / NOT A SCIENTIFIC RESULT,2,MOCK_S03,mouth,pcmci,11
True,MOCK DATA / NOT A SCIENTIFIC RESULT,3,MOCK_S04,mouth,full,80
True,MOCK DATA / NOT A SCIENTIFIC RESULT,3,MOCK_S04,mouth,pcmci,8
=======
=======
>>>>>>> Stashed changes
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,pcmci,9
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,pcmci,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,pcmci,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,persistence,1
