is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,condition,metric_name,metric_direction,value,n_valid,evaluation_support_sha256
True,MOCK DATA / NOT A SCIENTIFIC RESULT,0,MOCK_S01,mouth,persistence,velocity_rmse,lower_is_better,1.30,120,2f2b96eaf031b664e8a554566c4da65051b6163f554def4c9847f654eb2b9864
True,MOCK DATA / NOT A SCIENTIFIC RESULT,0,MOCK_S01,mouth,self,velocity_rmse,lower_is_better,1.15,120,2f2b96eaf031b664e8a554566c4da65051b6163f554def4c9847f654eb2b9864
True,MOCK DATA / NOT A SCIENTIFIC RESULT,0,MOCK_S01,mouth,full,velocity_rmse,lower_is_better,1.04,120,2f2b96eaf031b664e8a554566c4da65051b6163f554def4c9847f654eb2b9864
True,MOCK DATA / NOT A SCIENTIFIC RESULT,0,MOCK_S01,mouth,pcmci,velocity_rmse,lower_is_better,1.01,120,2f2b96eaf031b664e8a554566c4da65051b6163f554def4c9847f654eb2b9864
True,MOCK DATA / NOT A SCIENTIFIC RESULT,1,MOCK_S02,mouth,persistence,velocity_rmse,lower_is_better,1.34,120,5988d4fc52801a24ddccde8316e0f759fdae6345ec1cdf56412acc91b6d401ac
True,MOCK DATA / NOT A SCIENTIFIC RESULT,1,MOCK_S02,mouth,self,velocity_rmse,lower_is_better,1.18,120,5988d4fc52801a24ddccde8316e0f759fdae6345ec1cdf56412acc91b6d401ac
True,MOCK DATA / NOT A SCIENTIFIC RESULT,1,MOCK_S02,mouth,full,velocity_rmse,lower_is_better,1.07,120,5988d4fc52801a24ddccde8316e0f759fdae6345ec1cdf56412acc91b6d401ac
True,MOCK DATA / NOT A SCIENTIFIC RESULT,1,MOCK_S02,mouth,pcmci,velocity_rmse,lower_is_better,1.05,120,5988d4fc52801a24ddccde8316e0f759fdae6345ec1cdf56412acc91b6d401ac
True,MOCK DATA / NOT A SCIENTIFIC RESULT,2,MOCK_S03,mouth,persistence,velocity_rmse,lower_is_better,1.28,120,9fab0228c035bd32c1daa21a9102ad31ab9c558c585c3b88c4e16fb65451570c
True,MOCK DATA / NOT A SCIENTIFIC RESULT,2,MOCK_S03,mouth,self,velocity_rmse,lower_is_better,1.13,120,9fab0228c035bd32c1daa21a9102ad31ab9c558c585c3b88c4e16fb65451570c
True,MOCK DATA / NOT A SCIENTIFIC RESULT,2,MOCK_S03,mouth,full,velocity_rmse,lower_is_better,1.02,120,9fab0228c035bd32c1daa21a9102ad31ab9c558c585c3b88c4e16fb65451570c
True,MOCK DATA / NOT A SCIENTIFIC RESULT,2,MOCK_S03,mouth,pcmci,velocity_rmse,lower_is_better,1.00,120,9fab0228c035bd32c1daa21a9102ad31ab9c558c585c3b88c4e16fb65451570c
True,MOCK DATA / NOT A SCIENTIFIC RESULT,3,MOCK_S04,mouth,persistence,velocity_rmse,lower_is_better,1.32,120,1804414725241bf3e21b865a40ef3b18b520295e9092c200a2bdc28044b0b81e
True,MOCK DATA / NOT A SCIENTIFIC RESULT,3,MOCK_S04,mouth,self,velocity_rmse,lower_is_better,1.17,120,1804414725241bf3e21b865a40ef3b18b520295e9092c200a2bdc28044b0b81e
True,MOCK DATA / NOT A SCIENTIFIC RESULT,3,MOCK_S04,mouth,full,velocity_rmse,lower_is_better,1.05,120,1804414725241bf3e21b865a40ef3b18b520295e9092c200a2bdc28044b0b81e
True,MOCK DATA / NOT A SCIENTIFIC RESULT,3,MOCK_S04,mouth,pcmci,velocity_rmse,lower_is_better,1.03,120,1804414725241bf3e21b865a40ef3b18b520295e9092c200a2bdc28044b0b81e
